bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
2,1,730,Furnished,All,"Vishal Park, Vittalvadi, , Pune, Maharashtra",2,East,Vitrified,Yes,Yes,0,Yes,Yes,24,1,0,1,10+ Year Old,0,0,1,0,0,0,Maintenance 500/ (/ month,18000,50000,500,15000
2,2,780,Unfurnishe,Family Only,"Rama Krystal City, MIDC, , Pune, Maharashtra",1,North,Ceramic,Yes,No,1,None,None,0,0,1,2,0 to 1 Year Old,0,0,0,1,0,0,Maintenance 2000/ (/ month,0,30000,2000,13000
2,2,0,Unfurnished,Family Only,"Mohamadwadi, , Pune, Maharashtra",2,No Direction,Not provided,No,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,25000,0,9000
1,1,0,Unfurnished,All,"Dhayari, , Pune, Maharashtra",1,No Direction,Not provided,No,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,7000,0,6000
2,2,900,Unfurnished,Family Only,"Krome Citroena, Bellagio, , Pune, Maharashtra",2,North-East,Vitrified,Yes,No,2,Yes,Yes,0,0,0,2,5 to 10 Year Old,1,0,0,0,0,0,Maintenance 2000/ (/ month,0,0,2000,18000
1,1,550,Semifurnished,Family Only,"RUTURAJ APARTMENT, BEHIND HOTEL KINARA, , Pune, Maharashtra",6,No Direction,Not provided,No,No,1,None,None,11,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,50000,0,16000
1,1,200,Unfurnished,Bachelors (Men/Women),"On Req, New Sanghvi, , Pune, Maharashtra",0,South,Not provided,No,No,0,None,None,0,0,0,0,10+ Year Old,1,0,0,0,0,0,0,0,10000,0,7000
2,2,587,Unfurnished,Family Only,"Siddhi The Address, Moshi, , Pune, Maharashtra",3,East,Not provided,No,No,0,None,None,24,2,0,0,0 to 1 Year Old,1,0,0,0,0,0,0,0,40000,0,12000
3,3,0,Unfurnished,All,"Nyati Elan, Wagholi, , Pune, Maharashtra",8,No Direction,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,3,0,22000
3,4,145.15,Semifurnished,Family Only,"Marvel Arco, Hadapsar, , Pune, Maharashtra",4,East,Ceramic,No,No,2,None,None,11,1,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,36000,3,0,36500
